collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant,selected_prefix_length
task,PartyB,Activity BB,PartyB,2021-06-23 07:34:38,case_184,,,,,,,task_PartyB,6
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:34:44,case_184,m1_192,send,PartyA,m1,,,SendTask_PartyB,6
task,PartyC,Activity ZA,PartyC,2021-06-23 07:34:57,case_184,,,,,,,task_PartyC,6
task,PartyA,Activity A,PartyA,2021-06-23 07:36:44,case_189,,,,,,,task_PartyA,15
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:36:47,case_189,m4_199,send,PartyC,m4,,,SendTask_PartyB,15
task,PartyB,Activity BB,PartyB,2021-06-23 07:36:52,case_189,,,,,,,task_PartyB,15
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:36:59,case_189,m1_198,send,PartyA,m1,,,SendTask_PartyB,15
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:37:06,case_189,m4_199,receive,,m4,PartyB,start,ReceiveTask_PartyC,15
task,PartyC,Activity ZA,PartyC,2021-06-23 07:37:12,case_189,,,,,,,task_PartyC,15
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:37:23,case_189,m5_200,send,PartyB,m5,,,SendTask_PartyC,15
task,PartyC,Activity CZ,PartyC,2021-06-23 07:37:29,case_189,,,,,,,task_PartyC,15
task,PartyC,Activity BZ,PartyC,2021-06-23 07:37:35,case_189,,,,,,,task_PartyC,15
task,PartyB,Activity G,PartyB,2021-06-23 07:37:40,case_189,,,,,,,task_PartyB,15
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:37:45,case_189,m5_200,receive,,m5,PartyC,,ReceiveTask_PartyB,15
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:37:46,case_189,m2_196,send,PartyA,m2,,,SendTask_PartyB,15
task,PartyB,Activity FF,PartyB,2021-06-23 07:37:49,case_189,,,,,,,task_PartyB,15
task,PartyB,Activity DD,PartyB,2021-06-23 07:37:57,case_189,,,,,,,task_PartyB,15
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 07:38:02,case_189,m2_196,receive,,m2,PartyB,,ReceiveTask_PartyA,15
task,PartyA,Activity A,PartyA,2021-06-23 07:39:05,case_194,,,,,,,task_PartyA,2
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:39:05,case_194,m4_204,send,PartyC,m4,,,SendTask_PartyB,2
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:44:47,case_209,m4_221,send,PartyC,m4,,,SendTask_PartyB,10
task,PartyA,Activity A,PartyA,2021-06-23 07:44:57,case_209,,,,,,,task_PartyA,10
task,PartyB,Activity BB,PartyB,2021-06-23 07:45:05,case_209,,,,,,,task_PartyB,10
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:45:23,case_209,m4_221,receive,,m4,PartyB,start,ReceiveTask_PartyC,10
task,PartyC,Activity ZA,PartyC,2021-06-23 07:45:27,case_209,,,,,,,task_PartyC,10
task,PartyC,Activity CZ,PartyC,2021-06-23 07:45:31,case_209,,,,,,,task_PartyC,10
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:45:34,case_209,m1_220,send,PartyA,m1,,,SendTask_PartyB,10
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:45:39,case_209,m5_222,send,PartyB,m5,,,SendTask_PartyC,10
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:45:39,case_209,m5_222,receive,,m5,PartyC,,ReceiveTask_PartyB,10
task,PartyB,Activity G,PartyB,2021-06-23 07:45:42,case_209,,,,,,,task_PartyB,10
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:59:21,case_239,m4_252,send,PartyC,m4,,,SendTask_PartyB,15
task,PartyB,Activity BB,PartyB,2021-06-23 07:59:34,case_239,,,,,,,task_PartyB,15
task,PartyA,Activity A,PartyA,2021-06-23 07:59:43,case_239,,,,,,,task_PartyA,15
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:59:49,case_239,m1_251,send,PartyA,m1,,,SendTask_PartyB,15
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:00:02,case_239,m4_252,receive,,m4,PartyB,start,ReceiveTask_PartyC,15
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:00:06,case_239,m2_253,send,,m2,,,SendTask_PartyB,15
task,PartyA,Activity C,PartyA,2021-06-23 08:00:18,case_239,,,,,,,task_PartyA,15
task,PartyA,Activity B,PartyA,2021-06-23 08:00:27,case_239,,,,,,,task_PartyA,15
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:00:33,case_239,m3_250,send,PartyB,m3,,,SendTask_PartyA,15
task,PartyC,Activity ZA,PartyC,2021-06-23 08:00:45,case_239,,,,,,,task_PartyC,15
task,PartyB,Activity G,PartyB,2021-06-23 08:00:48,case_239,,,,,,,task_PartyB,15
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 08:01:03,case_239,m1_251,receive,,m1,PartyB,,ReceiveTask_PartyA,15
task,PartyB,Activity FF,PartyB,2021-06-23 08:01:10,case_239,,,,,,,task_PartyB,15
task,PartyC,Activity CZ,PartyC,2021-06-23 08:01:15,case_239,,,,,,,task_PartyC,15
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:01:18,case_239,m5_254,send,PartyB,m5,,,SendTask_PartyC,15
task,PartyA,Activity A,PartyA,2021-06-23 08:03:50,case_249,,,,,,,task_PartyA,17
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:03:57,case_249,m4_263,send,PartyC,m4,,,SendTask_PartyB,17
task,PartyB,Activity BB,PartyB,2021-06-23 08:03:59,case_249,,,,,,,task_PartyB,17
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:04:03,case_249,m1_262,send,PartyA,m1,,,SendTask_PartyB,17
task,PartyB,Activity G,PartyB,2021-06-23 08:04:05,case_249,,,,,,,task_PartyB,17
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:04:10,case_249,m4_263,receive,,m4,PartyB,start,ReceiveTask_PartyC,17
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:04:14,case_249,m2_260,send,PartyA,m2,,,SendTask_PartyB,17
task,PartyC,Activity ZA,PartyC,2021-06-23 08:04:21,case_249,,,,,,,task_PartyC,17
task,PartyC,Activity CZ,PartyC,2021-06-23 08:04:28,case_249,,,,,,,task_PartyC,17
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 08:04:37,case_249,m2_260,receive,,m2,PartyB,,ReceiveTask_PartyA,17
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:05:00,case_249,m5_264,send,PartyB,m5,,,SendTask_PartyC,17
task,PartyA,Activity B,PartyA,2021-06-23 08:05:05,case_249,,,,,,,task_PartyA,17
task,PartyB,Activity FF,PartyB,2021-06-23 08:05:10,case_249,,,,,,,task_PartyB,17
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:05:16,case_249,m3_261,send,PartyB,m3,,,SendTask_PartyA,17
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:05:21,case_249,m5_264,receive,,m5,PartyC,,ReceiveTask_PartyB,17
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 08:05:34,case_249,m1_262,receive,,m1,PartyB,,ReceiveTask_PartyA,17
task,PartyB,Activity DD,PartyB,2021-06-23 08:05:45,case_249,,,,,,,task_PartyB,17
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:27:34,case_309,m4_325,send,PartyC,m4,,,SendTask_PartyB,8
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:27:41,case_309,m4_325,receive,,m4,PartyB,start,ReceiveTask_PartyC,8
task,PartyB,Activity BB,PartyB,2021-06-23 08:27:47,case_309,,,,,,,task_PartyB,8
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:27:54,case_309,m1_324,send,PartyA,m1,,,SendTask_PartyB,8
task,PartyC,Activity ZA,PartyC,2021-06-23 08:28:02,case_309,,,,,,,task_PartyC,8
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:28:21,case_309,m5_327,send,PartyB,m5,,,SendTask_PartyC,8
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:28:21,case_309,m2_326,send,,m2,,,SendTask_PartyB,8
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:28:28,case_309,m5_327,receive,,m5,PartyC,,ReceiveTask_PartyB,8
task,PartyA,Activity A,PartyA,2021-06-23 08:32:18,case_319,,,,,,,task_PartyA,5
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:32:22,case_319,m4_335,send,PartyC,m4,,,SendTask_PartyB,5
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:32:27,case_319,m4_335,receive,,m4,PartyB,start,ReceiveTask_PartyC,5
task,PartyB,Activity BB,PartyB,2021-06-23 08:32:31,case_319,,,,,,,task_PartyB,5
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:32:36,case_319,m1_334,send,PartyA,m1,,,SendTask_PartyB,5
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:36:40,case_329,m4_347,send,PartyC,m4,,,SendTask_PartyB,1
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:44:35,case_349,m4_370,send,PartyC,m4,,,SendTask_PartyB,19
task,PartyB,Activity BB,PartyB,2021-06-23 08:44:41,case_349,,,,,,,task_PartyB,19
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:44:49,case_349,m1_369,send,PartyA,m1,,,SendTask_PartyB,19
task,PartyA,Activity A,PartyA,2021-06-23 08:44:54,case_349,,,,,,,task_PartyA,19
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:45:01,case_349,m4_370,receive,,m4,PartyB,start,ReceiveTask_PartyC,19
task,PartyB,Activity FF,PartyB,2021-06-23 08:45:08,case_349,,,,,,,task_PartyB,19
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:45:13,case_349,m2_367,send,PartyA,m2,,,SendTask_PartyB,19
task,PartyB,Activity G,PartyB,2021-06-23 08:45:17,case_349,,,,,,,task_PartyB,19
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 08:45:23,case_349,m2_367,receive,,m2,PartyB,,ReceiveTask_PartyA,19
task,PartyA,Activity B,PartyA,2021-06-23 08:45:26,case_349,,,,,,,task_PartyA,19
task,PartyC,Activity ZA,PartyC,2021-06-23 08:45:32,case_349,,,,,,,task_PartyC,19
task,PartyC,Activity CZ,PartyC,2021-06-23 08:45:38,case_349,,,,,,,task_PartyC,19
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:45:41,case_349,m5_371,send,PartyB,m5,,,SendTask_PartyC,19
task,PartyC,Activity BZ,PartyC,2021-06-23 08:45:55,case_349,,,,,,,task_PartyC,19
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:46:05,case_349,m5_371,receive,,m5,PartyC,,ReceiveTask_PartyB,19
task,PartyB,Activity DD,PartyB,2021-06-23 08:46:10,case_349,,,,,,,task_PartyB,19
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:46:19,case_349,m3_368,send,PartyB,m3,,,SendTask_PartyA,19
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 08:46:22,case_349,m1_369,receive,,m1,PartyB,,ReceiveTask_PartyA,19
task,PartyB,Activity I,PartyB,2021-06-23 08:46:22,case_349,,,,,,,task_PartyB,19
task,PartyA,Activity A,PartyA,2021-06-23 08:46:37,case_354,,,,,,,task_PartyA,20
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:46:44,case_354,m4_374,send,PartyC,m4,,,SendTask_PartyB,20
task,PartyB,Activity BB,PartyB,2021-06-23 08:46:50,case_354,,,,,,,task_PartyB,20
task,PartyA,Activity C,PartyA,2021-06-23 08:46:57,case_354,,,,,,,task_PartyA,20
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:46:59,case_354,m1_373,send,PartyA,m1,,,SendTask_PartyB,20
task,PartyB,Activity G,PartyB,2021-06-23 08:47:11,case_354,,,,,,,task_PartyB,20
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:47:17,case_354,m4_374,receive,,m4,PartyB,start,ReceiveTask_PartyC,20
task,PartyA,Activity B,PartyA,2021-06-23 08:47:31,case_354,,,,,,,task_PartyA,20
task,PartyC,Activity ZA,PartyC,2021-06-23 08:47:39,case_354,,,,,,,task_PartyC,20
task,PartyB,Activity FF,PartyB,2021-06-23 08:47:42,case_354,,,,,,,task_PartyB,20
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:47:44,case_354,m2_375,send,,m2,,,SendTask_PartyB,20
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:47:54,case_354,m5_376,send,PartyB,m5,,,SendTask_PartyC,20
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:47:56,case_354,m5_376,receive,,m5,PartyC,,ReceiveTask_PartyB,20
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:48:10,case_354,m3_372,send,PartyB,m3,,,SendTask_PartyA,20
task,PartyC,Activity CZ,PartyC,2021-06-23 08:48:21,case_354,,,,,,,task_PartyC,20
task,PartyB,Activity DD,PartyB,2021-06-23 08:48:25,case_354,,,,,,,task_PartyB,20
task,PartyC,Activity BZ,PartyC,2021-06-23 08:48:43,case_354,,,,,,,task_PartyC,20
task,PartyB,Activity I,PartyB,2021-06-23 08:48:48,case_354,,,,,,,task_PartyB,20
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 08:48:56,case_354,m1_373,receive,,m1,PartyB,,ReceiveTask_PartyA,20
task,PartyB,Activity J,PartyB,2021-06-23 08:48:57,case_354,,,,,,,task_PartyB,20
task,PartyA,Activity A,PartyA,2021-06-23 08:55:37,case_374,,,,,,,task_PartyA,17
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:55:38,case_374,m4_396,send,PartyC,m4,,,SendTask_PartyB,17
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:55:43,case_374,m4_396,receive,,m4,PartyB,start,ReceiveTask_PartyC,17
task,PartyB,Activity BB,PartyB,2021-06-23 08:55:44,case_374,,,,,,,task_PartyB,17
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:55:47,case_374,m1_395,send,PartyA,m1,,,SendTask_PartyB,17
task,PartyC,Activity ZA,PartyC,2021-06-23 08:55:51,case_374,,,,,,,task_PartyC,17
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:55:54,case_374,m2_393,send,PartyA,m2,,,SendTask_PartyB,17
task,PartyB,Activity FF,PartyB,2021-06-23 08:55:58,case_374,,,,,,,task_PartyB,17
task,PartyC,Activity CZ,PartyC,2021-06-23 08:56:07,case_374,,,,,,,task_PartyC,17
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:56:15,case_374,m5_397,send,PartyB,m5,,,SendTask_PartyC,17
task,PartyB,Activity G,PartyB,2021-06-23 08:56:15,case_374,,,,,,,task_PartyB,17
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:56:20,case_374,m5_397,receive,,m5,PartyC,,ReceiveTask_PartyB,17
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 08:56:34,case_374,m2_393,receive,,m2,PartyB,,ReceiveTask_PartyA,17
task,PartyC,Activity BZ,PartyC,2021-06-23 08:56:41,case_374,,,,,,,task_PartyC,17
task,PartyB,Activity DD,PartyB,2021-06-23 08:56:45,case_374,,,,,,,task_PartyB,17
task,PartyB,Activity I,PartyB,2021-06-23 08:56:48,case_374,,,,,,,task_PartyB,17
task,PartyB,Activity J,PartyB,2021-06-23 08:56:57,case_374,,,,,,,task_PartyB,17
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:57:31,case_379,m4_400,send,PartyC,m4,,,SendTask_PartyB,20
task,PartyB,Activity BB,PartyB,2021-06-23 08:57:36,case_379,,,,,,,task_PartyB,20
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:57:50,case_379,m4_400,receive,,m4,PartyB,start,ReceiveTask_PartyC,20
task,PartyC,Activity ZA,PartyC,2021-06-23 08:57:54,case_379,,,,,,,task_PartyC,20
task,PartyA,Activity A,PartyA,2021-06-23 08:57:58,case_379,,,,,,,task_PartyA,20
task,PartyA,Activity C,PartyA,2021-06-23 08:58:05,case_379,,,,,,,task_PartyA,20
task,PartyA,Activity B,PartyA,2021-06-23 08:58:17,case_379,,,,,,,task_PartyA,20
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:58:21,case_379,m1_399,send,PartyA,m1,,,SendTask_PartyB,20
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:58:29,case_379,m3_398,send,PartyB,m3,,,SendTask_PartyA,20
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 08:58:35,case_379,m1_399,receive,,m1,PartyB,,ReceiveTask_PartyA,20
task,PartyC,Activity CZ,PartyC,2021-06-23 08:58:38,case_379,,,,,,,task_PartyC,20
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:58:39,case_379,m2_401,send,,m2,,,SendTask_PartyB,20
task,PartyB,Activity FF,PartyB,2021-06-23 08:58:48,case_379,,,,,,,task_PartyB,20
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:58:57,case_379,m5_402,send,PartyB,m5,,,SendTask_PartyC,20
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:59:04,case_379,m5_402,receive,,m5,PartyC,,ReceiveTask_PartyB,20
task,PartyC,Activity BZ,PartyC,2021-06-23 08:59:13,case_379,,,,,,,task_PartyC,20
task,PartyB,Activity G,PartyB,2021-06-23 08:59:16,case_379,,,,,,,task_PartyB,20
task,PartyB,Activity DD,PartyB,2021-06-23 08:59:17,case_379,,,,,,,task_PartyB,20
task,PartyB,Activity I,PartyB,2021-06-23 08:59:19,case_379,,,,,,,task_PartyB,20
task,PartyB,Activity J,PartyB,2021-06-23 08:59:23,case_379,,,,,,,task_PartyB,20
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:07:10,case_404,m4_427,send,PartyC,m4,,,SendTask_PartyB,8
task,PartyA,Activity A,PartyA,2021-06-23 09:07:21,case_404,,,,,,,task_PartyA,8
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:07:33,case_404,m4_427,receive,,m4,PartyB,start,ReceiveTask_PartyC,8
task,PartyC,Activity ZA,PartyC,2021-06-23 09:07:36,case_404,,,,,,,task_PartyC,8
task,PartyB,Activity BB,PartyB,2021-06-23 09:07:38,case_404,,,,,,,task_PartyB,8
task,PartyA,Activity C,PartyA,2021-06-23 09:07:46,case_404,,,,,,,task_PartyA,8
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:07:56,case_404,m5_428,send,PartyB,m5,,,SendTask_PartyC,8
task,PartyC,Activity CZ,PartyC,2021-06-23 09:08:04,case_404,,,,,,,task_PartyC,8
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:32:31,case_464,m4_491,send,PartyC,m4,,,SendTask_PartyB,15
task,PartyB,Activity BB,PartyB,2021-06-23 09:32:37,case_464,,,,,,,task_PartyB,15
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:32:46,case_464,m1_490,send,PartyA,m1,,,SendTask_PartyB,15
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:33:01,case_464,m2_488,send,PartyA,m2,,,SendTask_PartyB,15
task,PartyB,Activity G,PartyB,2021-06-23 09:33:08,case_464,,,,,,,task_PartyB,15
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:33:21,case_464,m4_491,receive,,m4,PartyB,start,ReceiveTask_PartyC,15
task,PartyC,Activity ZA,PartyC,2021-06-23 09:33:29,case_464,,,,,,,task_PartyC,15
task,PartyA,Activity A,PartyA,2021-06-23 09:33:39,case_464,,,,,,,task_PartyA,15
task,PartyC,Activity CZ,PartyC,2021-06-23 09:33:49,case_464,,,,,,,task_PartyC,15
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 09:33:54,case_464,m2_488,receive,,m2,PartyB,,ReceiveTask_PartyA,15
task,PartyB,Activity FF,PartyB,2021-06-23 09:34:02,case_464,,,,,,,task_PartyB,15
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:34:13,case_464,m5_492,send,PartyB,m5,,,SendTask_PartyC,15
task,PartyA,Activity B,PartyA,2021-06-23 09:34:21,case_464,,,,,,,task_PartyA,15
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:34:27,case_464,m3_489,send,PartyB,m3,,,SendTask_PartyA,15
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 09:34:30,case_464,m1_490,receive,,m1,PartyB,,ReceiveTask_PartyA,15
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:46:50,case_499,m4_528,send,PartyC,m4,,,SendTask_PartyB,4
task,PartyB,Activity BB,PartyB,2021-06-23 09:46:56,case_499,,,,,,,task_PartyB,4
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:47:05,case_499,m4_528,receive,,m4,PartyB,start,ReceiveTask_PartyC,4
task,PartyA,Activity A,PartyA,2021-06-23 09:47:10,case_499,,,,,,,task_PartyA,4
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:52:42,case_89,m4_94,send,PartyC,m4,,,SendTask_PartyB,6
task,PartyA,Activity A,PartyA,2021-06-23 06:52:59,case_89,,,,,,,task_PartyA,6
task,PartyB,Activity BB,PartyB,2021-06-23 06:53:10,case_89,,,,,,,task_PartyB,6
task,PartyA,Activity C,PartyA,2021-06-23 06:53:21,case_89,,,,,,,task_PartyA,6
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:53:27,case_89,m1_93,send,PartyA,m1,,,SendTask_PartyB,6
task,PartyB,Activity FF,PartyB,2021-06-23 06:53:32,case_89,,,,,,,task_PartyB,6
