collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant,selected_prefix_length
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:33:04,case_179,m3_185,send,PartyB,m3,,,SendTask_PartyA,16
task,PartyB,Activity FF,PartyB,2021-06-23 07:33:07,case_179,,,,,,,task_PartyB,16
task,PartyC,Activity CZ,PartyC,2021-06-23 07:33:25,case_179,,,,,,,task_PartyC,16
task,PartyB,Activity DD,PartyB,2021-06-23 07:33:28,case_179,,,,,,,task_PartyB,16
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:23:50,case_19,m4_18,send,PartyC,m4,,,SendTask_PartyB,7
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:24:05,case_19,m4_18,receive,,m4,PartyB,start,ReceiveTask_PartyC,7
task,PartyC,Activity ZA,PartyC,2021-06-23 06:24:12,case_19,,,,,,,task_PartyC,7
task,PartyA,Activity A,PartyA,2021-06-23 06:24:15,case_19,,,,,,,task_PartyA,7
task,PartyB,Activity BB,PartyB,2021-06-23 06:24:20,case_19,,,,,,,task_PartyB,7
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:24:29,case_19,m5_19,send,PartyB,m5,,,SendTask_PartyC,7
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:24:31,case_19,m1_17,send,PartyA,m1,,,SendTask_PartyB,7
task,PartyA,Activity A,PartyA,2021-06-23 07:40:58,case_199,,,,,,,task_PartyA,21
task,PartyA,Activity C,PartyA,2021-06-23 07:40:58,case_199,,,,,,,task_PartyA,21
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:41:06,case_199,m4_209,send,PartyC,m4,,,SendTask_PartyB,21
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:41:18,case_199,m4_209,receive,,m4,PartyB,start,ReceiveTask_PartyC,21
task,PartyA,Activity B,PartyA,2021-06-23 07:41:26,case_199,,,,,,,task_PartyA,21
task,PartyB,Activity BB,PartyB,2021-06-23 07:41:28,case_199,,,,,,,task_PartyB,21
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:41:37,case_199,m3_207,send,PartyB,m3,,,SendTask_PartyA,21
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:41:41,case_199,m1_208,send,PartyA,m1,,,SendTask_PartyB,21
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:41:50,case_199,m1_208,receive,,m1,PartyB,,ReceiveTask_PartyA,21
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:42:05,case_199,m2_210,send,,m2,,,SendTask_PartyB,21
task,PartyC,Activity ZA,PartyC,2021-06-23 07:42:13,case_199,,,,,,,task_PartyC,21
task,PartyB,Activity G,PartyB,2021-06-23 07:42:22,case_199,,,,,,,task_PartyB,21
task,PartyB,Activity FF,PartyB,2021-06-23 07:42:25,case_199,,,,,,,task_PartyB,21
task,PartyC,Activity CZ,PartyC,2021-06-23 07:42:26,case_199,,,,,,,task_PartyC,21
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:42:30,case_199,m5_211,send,PartyB,m5,,,SendTask_PartyC,21
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:42:30,case_199,m5_211,receive,,m5,PartyC,,ReceiveTask_PartyB,21
task,PartyC,Activity BZ,PartyC,2021-06-23 07:42:32,case_199,,,,,,,task_PartyC,21
task,PartyB,Activity DD,PartyB,2021-06-23 07:42:33,case_199,,,,,,,task_PartyB,21
task,PartyB,Activity I,PartyB,2021-06-23 07:42:35,case_199,,,,,,,task_PartyB,21
task,PartyB,Activity J,PartyB,2021-06-23 07:42:39,case_199,,,,,,,task_PartyB,21
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:42:40,case_199,m3_207,receive,,m3,PartyA,,ReceiveTask_PartyB,21
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:57:19,case_234,m4_247,send,PartyC,m4,,,SendTask_PartyB,11
task,PartyB,Activity BB,PartyB,2021-06-23 07:57:21,case_234,,,,,,,task_PartyB,11
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:57:25,case_234,m4_247,receive,,m4,PartyB,start,ReceiveTask_PartyC,11
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:57:39,case_234,m1_246,send,PartyA,m1,,,SendTask_PartyB,11
task,PartyA,Activity A,PartyA,2021-06-23 07:57:46,case_234,,,,,,,task_PartyA,11
task,PartyA,Activity C,PartyA,2021-06-23 07:57:53,case_234,,,,,,,task_PartyA,11
task,PartyC,Activity ZA,PartyC,2021-06-23 07:57:59,case_234,,,,,,,task_PartyC,11
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:58:05,case_234,m5_248,send,PartyB,m5,,,SendTask_PartyC,11
task,PartyC,Activity CZ,PartyC,2021-06-23 07:58:06,case_234,,,,,,,task_PartyC,11
task,PartyA,Activity B,PartyA,2021-06-23 07:58:14,case_234,,,,,,,task_PartyA,11
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:58:21,case_234,m3_245,send,PartyB,m3,,,SendTask_PartyA,11
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:01:48,case_244,m4_257,send,PartyC,m4,,,SendTask_PartyB,9
task,PartyB,Activity BB,PartyB,2021-06-23 08:01:53,case_244,,,,,,,task_PartyB,9
task,PartyA,Activity A,PartyA,2021-06-23 08:02:06,case_244,,,,,,,task_PartyA,9
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:02:15,case_244,m4_257,receive,,m4,PartyB,start,ReceiveTask_PartyC,9
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:02:24,case_244,m1_256,send,PartyA,m1,,,SendTask_PartyB,9
task,PartyB,Activity G,PartyB,2021-06-23 08:02:38,case_244,,,,,,,task_PartyB,9
task,PartyA,Activity C,PartyA,2021-06-23 08:02:47,case_244,,,,,,,task_PartyA,9
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:02:49,case_244,m2_258,send,,m2,,,SendTask_PartyB,9
task,PartyA,Activity B,PartyA,2021-06-23 08:03:00,case_244,,,,,,,task_PartyA,9
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:18:40,case_289,m4_303,send,PartyC,m4,,,SendTask_PartyB,5
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:18:52,case_289,m4_303,receive,,m4,PartyB,start,ReceiveTask_PartyC,5
task,PartyB,Activity BB,PartyB,2021-06-23 08:18:55,case_289,,,,,,,task_PartyB,5
task,PartyC,Activity ZA,PartyC,2021-06-23 08:19:09,case_289,,,,,,,task_PartyC,5
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:19:14,case_289,m1_302,send,PartyA,m1,,,SendTask_PartyB,5
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:20:52,case_294,m4_308,send,PartyC,m4,,,SendTask_PartyB,9
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:20:57,case_294,m4_308,receive,,m4,PartyB,start,ReceiveTask_PartyC,9
task,PartyC,Activity ZA,PartyC,2021-06-23 08:21:01,case_294,,,,,,,task_PartyC,9
task,PartyB,Activity BB,PartyB,2021-06-23 08:21:03,case_294,,,,,,,task_PartyB,9
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:21:18,case_294,m1_307,send,PartyA,m1,,,SendTask_PartyB,9
task,PartyA,Activity A,PartyA,2021-06-23 08:21:25,case_294,,,,,,,task_PartyA,9
task,PartyC,Activity CZ,PartyC,2021-06-23 08:21:39,case_294,,,,,,,task_PartyC,9
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:21:47,case_294,m5_310,send,PartyB,m5,,,SendTask_PartyC,9
task,PartyA,Activity C,PartyA,2021-06-23 08:21:55,case_294,,,,,,,task_PartyA,9
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:25:08,case_304,m4_320,send,PartyC,m4,,,SendTask_PartyB,15
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:25:16,case_304,m4_320,receive,,m4,PartyB,start,ReceiveTask_PartyC,15
task,PartyC,Activity ZA,PartyC,2021-06-23 08:25:22,case_304,,,,,,,task_PartyC,15
task,PartyC,Activity CZ,PartyC,2021-06-23 08:25:32,case_304,,,,,,,task_PartyC,15
task,PartyA,Activity A,PartyA,2021-06-23 08:25:37,case_304,,,,,,,task_PartyA,15
task,PartyB,Activity BB,PartyB,2021-06-23 08:25:49,case_304,,,,,,,task_PartyB,15
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:25:55,case_304,m1_319,send,PartyA,m1,,,SendTask_PartyB,15
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:26:04,case_304,m2_317,send,PartyA,m2,,,SendTask_PartyB,15
task,PartyB,Activity FF,PartyB,2021-06-23 08:26:09,case_304,,,,,,,task_PartyB,15
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:26:20,case_304,m5_321,send,PartyB,m5,,,SendTask_PartyC,15
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 08:26:29,case_304,m2_317,receive,,m2,PartyB,,ReceiveTask_PartyA,15
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:26:30,case_304,m5_321,receive,,m5,PartyC,,ReceiveTask_PartyB,15
task,PartyB,Activity G,PartyB,2021-06-23 08:26:34,case_304,,,,,,,task_PartyB,15
task,PartyA,Activity B,PartyA,2021-06-23 08:26:36,case_304,,,,,,,task_PartyA,15
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:26:45,case_304,m3_318,send,PartyB,m3,,,SendTask_PartyA,15
task,PartyA,Activity A,PartyA,2021-06-23 08:34:45,case_324,,,,,,,task_PartyA,19
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:34:51,case_324,m4_342,send,PartyC,m4,,,SendTask_PartyB,19
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:34:53,case_324,m4_342,receive,,m4,PartyB,start,ReceiveTask_PartyC,19
task,PartyC,Activity ZA,PartyC,2021-06-23 08:34:56,case_324,,,,,,,task_PartyC,19
task,PartyB,Activity BB,PartyB,2021-06-23 08:35:03,case_324,,,,,,,task_PartyB,19
task,PartyC,Activity CZ,PartyC,2021-06-23 08:35:13,case_324,,,,,,,task_PartyC,19
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:35:21,case_324,m5_343,send,PartyB,m5,,,SendTask_PartyC,19
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:35:24,case_324,m1_341,send,PartyA,m1,,,SendTask_PartyB,19
task,PartyB,Activity G,PartyB,2021-06-23 08:35:26,case_324,,,,,,,task_PartyB,19
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:35:31,case_324,m2_339,send,PartyA,m2,,,SendTask_PartyB,19
task,PartyC,Activity BZ,PartyC,2021-06-23 08:35:42,case_324,,,,,,,task_PartyC,19
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:35:45,case_324,m5_343,receive,,m5,PartyC,,ReceiveTask_PartyB,19
task,PartyB,Activity FF,PartyB,2021-06-23 08:35:46,case_324,,,,,,,task_PartyB,19
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 08:35:52,case_324,m2_339,receive,,m2,PartyB,,ReceiveTask_PartyA,19
task,PartyB,Activity DD,PartyB,2021-06-23 08:35:53,case_324,,,,,,,task_PartyB,19
task,PartyA,Activity B,PartyA,2021-06-23 08:36:05,case_324,,,,,,,task_PartyA,19
task,PartyB,Activity I,PartyB,2021-06-23 08:36:08,case_324,,,,,,,task_PartyB,19
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:36:17,case_324,m3_340,send,PartyB,m3,,,SendTask_PartyA,19
task,PartyB,Activity J,PartyB,2021-06-23 08:36:21,case_324,,,,,,,task_PartyB,19
task,PartyA,Activity A,PartyA,2021-06-23 06:29:48,case_34,,,,,,,task_PartyA,19
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:29:52,case_34,m4_34,send,PartyC,m4,,,SendTask_PartyB,19
task,PartyB,Activity BB,PartyB,2021-06-23 06:29:54,case_34,,,,,,,task_PartyB,19
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:29:59,case_34,m1_33,send,PartyA,m1,,,SendTask_PartyB,19
task,PartyB,Activity G,PartyB,2021-06-23 06:30:08,case_34,,,,,,,task_PartyB,19
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:30:15,case_34,m4_34,receive,,m4,PartyB,start,ReceiveTask_PartyC,19
task,PartyB,Activity FF,PartyB,2021-06-23 06:30:19,case_34,,,,,,,task_PartyB,19
task,PartyC,Activity ZA,PartyC,2021-06-23 06:30:28,case_34,,,,,,,task_PartyC,19
SendTask,PartyB,Activity EE,PartyB,2021-06-23 06:30:32,case_34,m2_31,send,PartyA,m2,,,SendTask_PartyB,19
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:30:32,case_34,m2_31,receive,,m2,PartyB,,ReceiveTask_PartyA,19
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:30:39,case_34,m5_35,send,PartyB,m5,,,SendTask_PartyC,19
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 06:30:44,case_34,m5_35,receive,,m5,PartyC,,ReceiveTask_PartyB,19
task,PartyC,Activity CZ,PartyC,2021-06-23 06:31:01,case_34,,,,,,,task_PartyC,19
task,PartyB,Activity DD,PartyB,2021-06-23 06:31:02,case_34,,,,,,,task_PartyB,19
task,PartyC,Activity BZ,PartyC,2021-06-23 06:31:13,case_34,,,,,,,task_PartyC,19
task,PartyB,Activity I,PartyB,2021-06-23 06:31:18,case_34,,,,,,,task_PartyB,19
task,PartyA,Activity B,PartyA,2021-06-23 06:31:25,case_34,,,,,,,task_PartyA,19
task,PartyB,Activity J,PartyB,2021-06-23 06:31:27,case_34,,,,,,,task_PartyB,19
SendTask,PartyA,Activity E,PartyA,2021-06-23 06:31:29,case_34,m3_32,send,PartyB,m3,,,SendTask_PartyA,19
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:24:08,case_444,m4_470,send,PartyC,m4,,,SendTask_PartyB,4
task,PartyB,Activity BB,PartyB,2021-06-23 09:24:11,case_444,,,,,,,task_PartyB,4
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:24:13,case_444,m1_469,send,PartyA,m1,,,SendTask_PartyB,4
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:24:28,case_444,m2_467,send,PartyA,m2,,,SendTask_PartyB,4
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:35:01,case_469,m4_495,send,PartyC,m4,,,SendTask_PartyB,19
task,PartyA,Activity A,PartyA,2021-06-23 09:35:08,case_469,,,,,,,task_PartyA,19
task,PartyB,Activity BB,PartyB,2021-06-23 09:35:15,case_469,,,,,,,task_PartyB,19
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:35:30,case_469,m4_495,receive,,m4,PartyB,start,ReceiveTask_PartyC,19
task,PartyA,Activity C,PartyA,2021-06-23 09:35:38,case_469,,,,,,,task_PartyA,19
task,PartyC,Activity ZA,PartyC,2021-06-23 09:35:52,case_469,,,,,,,task_PartyC,19
task,PartyA,Activity B,PartyA,2021-06-23 09:35:57,case_469,,,,,,,task_PartyA,19
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:36:00,case_469,m1_494,send,PartyA,m1,,,SendTask_PartyB,19
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:36:06,case_469,m3_493,send,PartyB,m3,,,SendTask_PartyA,19
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 09:36:08,case_469,m1_494,receive,,m1,PartyB,,ReceiveTask_PartyA,19
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:36:10,case_469,m2_496,send,,m2,,,SendTask_PartyB,19
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:36:17,case_469,m5_497,send,PartyB,m5,,,SendTask_PartyC,19
task,PartyB,Activity FF,PartyB,2021-06-23 09:36:21,case_469,,,,,,,task_PartyB,19
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 09:36:27,case_469,m5_497,receive,,m5,PartyC,,ReceiveTask_PartyB,19
task,PartyC,Activity CZ,PartyC,2021-06-23 09:36:31,case_469,,,,,,,task_PartyC,19
task,PartyB,Activity G,PartyB,2021-06-23 09:36:33,case_469,,,,,,,task_PartyB,19
task,PartyB,Activity DD,PartyB,2021-06-23 09:36:34,case_469,,,,,,,task_PartyB,19
task,PartyB,Activity I,PartyB,2021-06-23 09:36:35,case_469,,,,,,,task_PartyB,19
task,PartyC,Activity BZ,PartyC,2021-06-23 09:36:43,case_469,,,,,,,task_PartyC,19
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:39:02,case_479,m4_506,send,PartyC,m4,,,SendTask_PartyB,12
task,PartyA,Activity A,PartyA,2021-06-23 09:39:11,case_479,,,,,,,task_PartyA,12
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:39:21,case_479,m4_506,receive,,m4,PartyB,start,ReceiveTask_PartyC,12
task,PartyB,Activity BB,PartyB,2021-06-23 09:39:28,case_479,,,,,,,task_PartyB,12
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:39:32,case_479,m1_505,send,PartyA,m1,,,SendTask_PartyB,12
task,PartyC,Activity ZA,PartyC,2021-06-23 09:39:37,case_479,,,,,,,task_PartyC,12
task,PartyC,Activity CZ,PartyC,2021-06-23 09:39:43,case_479,,,,,,,task_PartyC,12
task,PartyB,Activity G,PartyB,2021-06-23 09:39:43,case_479,,,,,,,task_PartyB,12
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:39:48,case_479,m5_507,send,PartyB,m5,,,SendTask_PartyC,12
task,PartyC,Activity BZ,PartyC,2021-06-23 09:39:55,case_479,,,,,,,task_PartyC,12
task,PartyB,Activity FF,PartyB,2021-06-23 09:39:56,case_479,,,,,,,task_PartyB,12
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:40:00,case_479,m2_503,send,PartyA,m2,,,SendTask_PartyB,12
task,PartyA,Activity A,PartyA,2021-06-23 09:40:33,case_484,,,,,,,task_PartyA,23
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:40:40,case_484,m4_511,send,PartyC,m4,,,SendTask_PartyB,23
task,PartyB,Activity BB,PartyB,2021-06-23 09:40:45,case_484,,,,,,,task_PartyB,23
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:40:53,case_484,m1_510,send,PartyA,m1,,,SendTask_PartyB,23
task,PartyB,Activity FF,PartyB,2021-06-23 09:40:58,case_484,,,,,,,task_PartyB,23
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:41:09,case_484,m4_511,receive,,m4,PartyB,start,ReceiveTask_PartyC,23
task,PartyC,Activity ZA,PartyC,2021-06-23 09:41:13,case_484,,,,,,,task_PartyC,23
task,PartyB,Activity G,PartyB,2021-06-23 09:41:17,case_484,,,,,,,task_PartyB,23
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:41:18,case_484,m2_508,send,PartyA,m2,,,SendTask_PartyB,23
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 09:41:19,case_484,m2_508,receive,,m2,PartyB,,ReceiveTask_PartyA,23
task,PartyA,Activity B,PartyA,2021-06-23 09:41:24,case_484,,,,,,,task_PartyA,23
task,PartyC,Activity CZ,PartyC,2021-06-23 09:41:33,case_484,,,,,,,task_PartyC,23
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:41:37,case_484,m3_509,send,PartyB,m3,,,SendTask_PartyA,23
