collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:13:51,case_95,card_95,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:13:55,case_95,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 12:06:24,case_275,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 12:06:24,case_275,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 12:06:27,case_275,info_274,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 12:06:35,case_275,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 12:06:36,case_275,info_274,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 12:06:38,case_275,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 12:06:43,case_275,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 12:06:47,case_275,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 12:06:47,case_275,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 12:06:52,case_275,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 12:07:01,case_275,request_272,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 12:07:06,case_275,request_272,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 12:07:09,case_275,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 12:07:10,case_275,account_273,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 12:07:11,case_275,account_273,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 12:07:13,case_275,card_275,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 12:07:15,case_275,card_275,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 12:07:20,case_275,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 12:26:51,case_347,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 12:26:55,case_347,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 12:26:57,case_347,info_346,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 12:27:00,case_347,info_346,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 12:27:05,case_347,,,,,,
task,Visitor,Wait for card,Visitor,2021-06-16 12:27:08,case_347,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 12:27:12,case_347,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 12:27:15,case_347,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 12:27:20,case_347,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 12:27:26,case_347,request_344,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 12:27:32,case_347,request_344,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 12:27:43,case_347,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 12:27:51,case_347,account_345,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 12:28:01,case_347,account_345,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 12:28:07,case_347,card_347,send,Visitor,card,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 12:28:13,case_347,,,,,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 12:28:19,case_347,card_347,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 12:28:23,case_347,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:09:12,case_83,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 11:09:13,case_83,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:09:17,case_83,info_82,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 11:09:24,case_83,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:09:25,case_83,info_82,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:09:30,case_83,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:09:31,case_83,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:09:34,case_83,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:09:47,case_83,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:09:56,case_83,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:09:58,case_83,request_80,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:10:05,case_83,request_80,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:10:07,case_83,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:10:11,case_83,account_81,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:10:14,case_83,account_81,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:10:18,case_83,card_83,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:10:20,case_83,card_83,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:10:28,case_83,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:54:56,case_239,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 11:55:01,case_239,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:55:03,case_239,info_238,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:55:07,case_239,info_238,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:55:17,case_239,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:55:20,case_239,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:55:22,case_239,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:55:36,case_239,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:55:41,case_239,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:55:49,case_239,request_236,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:56:06,case_239,request_236,receive,,request,Zoo,start
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:56:08,case_239,,,,,,
task,Bank,Process payment information,Bank,2021-06-16 11:56:14,case_239,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:56:15,case_239,account_237,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:56:17,case_239,account_237,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:56:22,case_239,card_239,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:56:27,case_239,card_239,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:56:35,case_239,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:54:03,case_235,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 11:54:07,case_235,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:54:10,case_235,info_234,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 11:54:14,case_235,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:54:14,case_235,info_234,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:54:17,case_235,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:54:19,case_235,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:54:21,case_235,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:54:25,case_235,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:54:28,case_235,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:54:35,case_235,request_232,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:54:36,case_235,request_232,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:54:37,case_235,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:54:37,case_235,account_233,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:54:43,case_235,account_233,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:54:44,case_235,card_235,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:54:46,case_235,card_235,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:54:52,case_235,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 12:02:27,case_263,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 12:02:31,case_263,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 12:02:33,case_263,info_262,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 12:02:40,case_263,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 12:02:44,case_263,info_262,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 12:02:45,case_263,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 12:02:49,case_263,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 12:02:54,case_263,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 12:02:58,case_263,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 12:03:06,case_263,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 12:03:10,case_263,request_260,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 12:03:13,case_263,request_260,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 12:03:14,case_263,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 12:03:23,case_263,account_261,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 12:03:27,case_263,account_261,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 12:03:35,case_263,card_263,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 12:03:36,case_263,card_263,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 12:03:44,case_263,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 12:22:35,case_331,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 12:22:37,case_331,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 12:22:40,case_331,info_330,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 12:22:45,case_331,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 12:22:45,case_331,info_330,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 12:22:48,case_331,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 12:22:49,case_331,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 12:22:53,case_331,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 12:22:56,case_331,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 12:22:58,case_331,request_328,send,Bank,request,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 12:23:04,case_331,,,,,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 12:23:08,case_331,request_328,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 12:23:13,case_331,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 12:23:16,case_331,account_329,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 12:23:19,case_331,account_329,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 12:23:20,case_331,card_331,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 12:23:22,case_331,card_331,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 12:23:26,case_331,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:27:22,case_143,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 11:27:27,case_143,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:27:32,case_143,info_142,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:27:32,case_143,info_142,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:27:39,case_143,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:27:44,case_143,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:27:52,case_143,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:27:55,case_143,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:28:08,case_143,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:28:12,case_143,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:28:16,case_143,request_140,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:28:16,case_143,request_140,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:28:23,case_143,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:28:25,case_143,account_141,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:28:26,case_143,account_141,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:28:33,case_143,card_143,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:28:34,case_143,card_143,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:28:40,case_143,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:53:01,case_231,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 11:53:04,case_231,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:53:07,case_231,info_230,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:53:08,case_231,info_230,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:53:13,case_231,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:53:16,case_231,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:53:20,case_231,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:53:24,case_231,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:53:28,case_231,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:53:35,case_231,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:53:36,case_231,request_228,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:53:40,case_231,request_228,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:53:45,case_231,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:53:47,case_231,account_229,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:53:50,case_231,account_229,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:53:51,case_231,card_231,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:53:52,case_231,card_231,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:54:01,case_231,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:33:21,case_163,,,,,,
task,Visitor,Prepare personal information,Visitor,2021-06-16 11:33:22,case_163,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:33:24,case_163,info_162,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:33:26,case_163,info_162,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:33:32,case_163,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:33:36,case_163,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:33:40,case_163,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:33:44,case_163,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:33:52,case_163,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:34:00,case_163,request_160,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:34:04,case_163,request_160,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 11:34:09,case_163,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:34:10,case_163,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:34:14,case_163,account_161,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:34:15,case_163,account_161,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:34:19,case_163,card_163,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:34:22,case_163,card_163,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:34:27,case_163,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 10:54:22,case_35,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 10:54:25,case_35,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 10:54:29,case_35,info_34,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 10:54:35,case_35,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 10:54:35,case_35,info_34,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 10:54:36,case_35,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 10:54:41,case_35,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 10:54:47,case_35,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 10:54:55,case_35,request_32,send,Bank,request,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 10:55:05,case_35,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 10:55:18,case_35,,,,,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 10:55:21,case_35,request_32,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 10:55:23,case_35,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 10:55:23,case_35,account_33,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 10:55:26,case_35,account_33,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 10:55:27,case_35,card_35,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 10:55:34,case_35,card_35,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 10:55:42,case_35,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 11:13:58,case_99,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 11:14:01,case_99,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 11:14:06,case_99,info_98,send,Zoo,info,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 11:14:09,case_99,info_98,receive,,info,Visitor,start
task,Visitor,Wait for card,Visitor,2021-06-16 11:14:13,case_99,,,,,,
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 11:14:17,case_99,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 11:14:21,case_99,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 11:14:26,case_99,,,,,,
task,Zoo,Wait fot payment,Zoo,2021-06-16 11:14:31,case_99,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 11:14:38,case_99,request_96,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 11:14:40,case_99,request_96,receive,,request,Zoo,start
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 11:14:43,case_99,,,,,,
task,Bank,Process payment information,Bank,2021-06-16 11:14:48,case_99,,,,,,
SendTask,Bank,Change account,Bank,2021-06-16 11:14:52,case_99,account_97,send,Zoo,account,,
ReceiveTask,Zoo,Payment confirmed,Zoo,2021-06-16 11:14:57,case_99,account_97,receive,,account,Bank,notification
SendTask,Zoo,Deliver Zooclub card,Zoo,2021-06-16 11:15:00,case_99,card_99,send,Visitor,card,,
ReceiveTask,Visitor,Card received?,Visitor,2021-06-16 11:15:02,case_99,card_99,receive,,card,Zoo,notification
task,Visitor,Go home,Visitor,2021-06-16 11:15:07,case_99,,,,,,
task,Visitor,Decide individual or family ticket,Visitor,2021-06-16 12:17:38,case_315,,,,,,
task,Visitor,Prepare family's information,Visitor,2021-06-16 12:17:38,case_315,,,,,,
SendTask,Visitor,Send information to the ZooClub department,Visitor,2021-06-16 12:17:39,case_315,info_314,send,Zoo,info,,
task,Visitor,Wait for card,Visitor,2021-06-16 12:17:44,case_315,,,,,,
ReceiveTask,Zoo,Receive visitor information,Zoo,2021-06-16 12:17:47,case_315,info_314,receive,,info,Visitor,start
task,Zoo,Enter customer data into the system,Zoo,2021-06-16 12:17:50,case_315,,,,,,
task,Zoo,Forward information to making department,Zoo,2021-06-16 12:17:54,case_315,,,,,,
task,Zoo,Mail ZooClub magazine,Zoo,2021-06-16 12:17:58,case_315,,,,,,
task,Zoo,Send request to billing department,Zoo,2021-06-16 12:18:01,case_315,,,,,,
SendTask,Zoo,Send payment request,Zoo,2021-06-16 12:18:02,case_315,request_312,send,Bank,request,,
ReceiveTask,Bank,Receive payment request,Bank,2021-06-16 12:18:12,case_315,request_312,receive,,request,Zoo,start
task,Bank,Process payment information,Bank,2021-06-16 12:18:16,case_315,,,,,,
