collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:05:19,case_215,m2_143,send,PartyA,m2,
task,PartyC,Activity BZ,PartyC,2021-06-23 06:05:26,case_215,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:05:32,case_215,m1_142,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:05:34,case_215,m2_143,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:05:40,case_215,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:35:15,case_59,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:35:17,case_59,m2_38,send,PartyA,m2,
task,PartyA,Activity A,PartyA,2021-06-23 05:35:25,case_59,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:35:30,case_59,m1_39,send,PartyA,m1,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:35:34,case_59,m2_38,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:35:37,case_59,m1_39,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:35:42,case_59,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:35:46,case_59,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:16:37,case_278,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:16:41,case_278,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:16:45,case_278,m1_185,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:16:45,case_278,m2_184,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:16:57,case_278,m2_184,receive,,m2,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:16:58,case_278,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:17:04,case_278,m1_185,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:17:04,case_278,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:11:01,case_248,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:11:03,case_248,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:11:06,case_248,m2_164,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:11:11,case_248,m2_164,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:11:11,case_248,m1_165,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:11:15,case_248,m1_165,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:11:27,case_248,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 06:11:34,case_248,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:45:45,case_116,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:45:49,case_116,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:45:49,case_116,m1_76,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:45:53,case_116,m1_76,receive,,m1,PartyC
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:45:57,case_116,m2_77,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:46:04,case_116,m2_77,receive,,m2,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:46:11,case_116,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:46:14,case_116,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:06:11,case_221,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:06:13,case_221,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:06:18,case_221,m2_146,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:06:20,case_221,m2_146,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:06:23,case_221,m1_147,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:06:31,case_221,m1_147,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:06:36,case_221,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:06:40,case_221,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:55:48,case_167,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:55:50,case_167,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:55:54,case_167,m1_110,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:56:01,case_167,m1_110,receive,,m1,PartyC
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:56:05,case_167,m2_111,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:56:12,case_167,m2_111,receive,,m2,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:56:15,case_167,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:56:20,case_167,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:35:47,case_62,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:35:48,case_62,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:35:48,case_62,m1_40,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:35:52,case_62,m1_40,receive,,m1,PartyC
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:35:54,case_62,m2_41,send,PartyA,m2,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:35:57,case_62,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:36:03,case_62,m2_41,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:36:03,case_62,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:40:06,case_86,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:40:10,case_86,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:40:14,case_86,m2_57,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:40:15,case_86,m1_56,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:40:20,case_86,m1_56,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:40:27,case_86,m2_57,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:40:40,case_86,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:40:43,case_86,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:34:08,case_53,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:34:13,case_53,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:34:15,case_53,m2_34,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:34:19,case_53,m1_35,send,PartyA,m1,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:34:24,case_53,m2_34,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:34:31,case_53,m1_35,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:34:34,case_53,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:34:36,case_53,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:48:17,case_128,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:48:21,case_128,m1_85,send,PartyA,m1,
task,PartyA,Activity A,PartyA,2021-06-23 05:48:25,case_128,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:48:30,case_128,m2_84,send,PartyA,m2,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:48:32,case_128,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:48:34,case_128,m2_84,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:48:35,case_128,m1_85,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:48:37,case_128,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:42:50,case_98,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:42:54,case_98,m2_65,send,PartyA,m2,
task,PartyA,Activity A,PartyA,2021-06-23 05:43:02,case_98,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:43:03,case_98,m1_64,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:43:07,case_98,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:43:11,case_98,m1_64,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:43:19,case_98,m2_65,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:43:24,case_98,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:40:50,case_89,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:40:58,case_89,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:40:58,case_89,m2_58,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:41:02,case_89,m1_59,send,PartyA,m1,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:41:04,case_89,m2_58,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:41:13,case_89,m1_59,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:41:14,case_89,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:41:16,case_89,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:13:33,case_263,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:13:37,case_263,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:13:42,case_263,m1_174,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:13:46,case_263,m2_175,send,PartyA,m2,
task,PartyC,Activity BZ,PartyC,2021-06-23 06:13:55,case_263,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:14:02,case_263,m1_174,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:14:06,case_263,m2_175,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:14:12,case_263,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:19:38,case_293,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:19:41,case_293,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:19:41,case_293,m2_194,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:19:51,case_293,m2_194,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:19:55,case_293,m1_195,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 06:20:03,case_293,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:20:09,case_293,m1_195,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:20:10,case_293,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:17:50,case_284,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:17:51,case_284,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:17:54,case_284,m1_188,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:17:58,case_284,m1_188,receive,,m1,PartyC
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:18:02,case_284,m2_189,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:18:05,case_284,m2_189,receive,,m2,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:18:13,case_284,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:18:16,case_284,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:56:27,case_170,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:56:35,case_170,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:56:39,case_170,m2_112,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:56:45,case_170,m2_112,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:56:50,case_170,m1_113,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:56:57,case_170,m1_113,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:56:59,case_170,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:57:03,case_170,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:06:46,case_224,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:06:48,case_224,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:06:49,case_224,m2_148,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:06:53,case_224,m2_148,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:06:54,case_224,m1_149,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:06:58,case_224,m1_149,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:07:07,case_224,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:07:08,case_224,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:52:45,case_152,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:52:45,case_152,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:52:47,case_152,m1_101,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:52:51,case_152,m2_100,send,PartyA,m2,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:53:00,case_152,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:53:11,case_152,m2_100,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:53:14,case_152,m1_101,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:53:16,case_152,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:36:07,case_65,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:36:10,case_65,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:36:13,case_65,m2_43,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:36:15,case_65,m1_42,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:36:28,case_65,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:36:32,case_65,m1_42,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:36:34,case_65,m2_43,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:36:38,case_65,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:57:07,case_173,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:57:19,case_173,m2_115,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:57:22,case_173,m1_114,send,PartyA,m1,
task,PartyA,Activity A,PartyA,2021-06-23 05:57:23,case_173,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:57:33,case_173,m1_114,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:57:39,case_173,m2_115,receive,,m2,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:57:45,case_173,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:57:51,case_173,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:42:12,case_95,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:42:17,case_95,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:42:22,case_95,m2_62,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:42:26,case_95,m1_63,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:42:35,case_95,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:42:42,case_95,m2_62,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:42:45,case_95,m1_63,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:42:46,case_95,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:01:38,case_197,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:01:47,case_197,m2_130,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:01:53,case_197,m1_131,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 06:02:01,case_197,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:02:05,case_197,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:02:09,case_197,m2_130,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:02:10,case_197,m1_131,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:02:11,case_197,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:50:05,case_140,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:50:10,case_140,m2_93,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:50:15,case_140,m1_92,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:50:20,case_140,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:50:26,case_140,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:50:31,case_140,m1_92,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:50:34,case_140,m2_93,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:50:38,case_140,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:51:27,case_146,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:51:32,case_146,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:51:38,case_146,m2_96,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:51:45,case_146,m2_96,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:51:47,case_146,m1_97,send,PartyA,m1,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:51:55,case_146,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:52:05,case_146,m1_97,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:52:07,case_146,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:18:19,case_287,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:18:26,case_287,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:18:29,case_287,m2_190,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:18:31,case_287,m1_191,send,PartyA,m1,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:18:37,case_287,m2_190,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:18:43,case_287,m1_191,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:18:43,case_287,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:18:48,case_287,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:07:47,case_230,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:07:52,case_230,m1_153,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:07:57,case_230,m2_152,send,PartyA,m2,
task,PartyA,Activity A,PartyA,2021-06-23 06:08:01,case_230,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:08:10,case_230,m2_152,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:08:15,case_230,m1_153,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:08:18,case_230,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:08:20,case_230,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:44:49,case_110,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:44:54,case_110,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:44:56,case_110,m1_73,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:44:59,case_110,m2_72,send,PartyA,m2,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:45:06,case_110,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:45:09,case_110,m2_72,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:45:15,case_110,m1_73,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:45:17,case_110,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:20:19,case_296,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:20:23,case_296,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:20:26,case_296,m1_197,send,PartyA,m1,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:20:29,case_296,m2_196,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:20:34,case_296,m2_196,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:20:44,case_296,m1_197,receive,,m1,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:20:52,case_296,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 06:20:53,case_296,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:01:06,case_194,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:01:10,case_194,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:01:13,case_194,m2_128,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:01:15,case_194,m1_129,send,PartyA,m1,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:01:22,case_194,m2_128,receive,,m2,PartyC
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:01:31,case_194,m1_129,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:01:36,case_194,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 06:01:36,case_194,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 06:05:44,case_218,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 06:05:49,case_218,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 06:05:50,case_218,m2_145,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:05:53,case_218,m1_144,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:05:59,case_218,m1_144,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:06:02,case_218,,,,,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 06:06:07,case_218,m2_145,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:06:10,case_218,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:39:34,case_83,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:39:41,case_83,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:39:42,case_83,m2_55,send,PartyA,m2,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:39:45,case_83,m1_54,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:39:51,case_83,m1_54,receive,,m1,PartyC
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:39:52,case_83,m2_55,receive,,m2,PartyC
task,PartyA,Activity B,PartyA,2021-06-23 05:39:57,case_83,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 05:39:57,case_83,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 05:43:48,case_104,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 05:43:54,case_104,,,,,
SendTask,PartyC,Activity CZ,PartyC,2021-06-23 05:43:58,case_104,m2_68,send,PartyA,m2,
ReceiveTask,PartyA,Activity C,PartyA,2021-06-23 05:44:01,case_104,m2_68,receive,,m2,PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 05:44:06,case_104,m1_69,send,PartyA,m1,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 05:44:09,case_104,m1_69,receive,,m1,PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 05:44:09,case_104,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 05:44:10,case_104,,,,,
