msgInstanceId,msgProtocol,msgType,org:group,concept:name,collab:toParticipant,msgName,collab:elemType,collab:participant,time:timestamp,case:concept:name,collab:fromParticipant,eventType
admission_189,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:27:21,case_184,,
admission_189,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:27:22,case_184,Hospital,
disease_370,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:56:30,case_339,,
disease_370,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:56:34,case_339,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:56:39,case_339,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:56:39,case_339,,
blood sample_371,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:56:43,case_339,,
blood sample_371,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:56:47,case_339,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:56:51,case_339,,
results_372,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:56:51,case_339,,
results_372,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:56:51,case_339,Laboratory,
hospitalisation_373,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:56:54,case_339,,
hospitalisation_373,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:56:58,case_339,Gynecologist,
admission request_374,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:57:04,case_339,,
patient analysis_375,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 06:57:06,case_339,,
admission request_374,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:57:09,case_339,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:57:09,case_339,,
patient analysis_375,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 06:57:18,case_339,Gynecologist,
admission_376,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:57:23,case_339,,
admission_376,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:57:33,case_339,Hospital,
disease_190,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:27:26,case_189,,
disease_190,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:27:29,case_189,Patient,start
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:27:35,case_189,,
blood sample_191,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:27:37,case_189,,
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:27:40,case_189,,
blood sample_191,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:27:42,case_189,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:27:44,case_189,,
results_192,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:27:48,case_189,,
results_192,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:27:57,case_189,Laboratory,
hospitalisation_193,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:27:59,case_189,,
admission request_194,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:28:07,case_189,,
patient analysis_195,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 06:28:13,case_189,,
admission request_194,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:28:24,case_189,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:28:31,case_189,,
hospitalisation_193,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:28:40,case_189,Gynecologist,
patient analysis_195,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 06:28:45,case_189,Gynecologist,
admission_196,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:28:48,case_189,,
admission_196,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:28:53,case_189,Hospital,
disease_29,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:03:43,case_29,,
disease_29,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:03:44,case_29,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:03:47,case_29,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:03:51,case_29,,
blood sample_30,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:03:55,case_29,,
blood sample_30,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:03:56,case_29,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:04:01,case_29,,
results_31,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:04:05,case_29,,
results_31,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:04:10,case_29,Laboratory,
hospitalisation_32,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:04:13,case_29,,
admission request_33,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:04:19,case_29,,
admission request_33,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:04:20,case_29,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:04:29,case_29,,
hospitalisation_32,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:04:35,case_29,Gynecologist,
patient analysis_34,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 06:04:45,case_29,,
patient analysis_34,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 06:04:51,case_29,Gynecologist,
admission_35,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:05:00,case_29,,
admission_35,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:05:00,case_29,Hospital,
disease_335,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:50:59,case_314,,
disease_335,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:51:02,case_314,Patient,start
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:51:03,case_314,,
blood sample_336,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:51:08,case_314,,
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:51:10,case_314,,
blood sample_336,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:51:15,case_314,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:51:16,case_314,,
results_337,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:51:18,case_314,,
results_337,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:51:23,case_314,Laboratory,
hospitalisation_338,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:51:24,case_314,,
hospitalisation_338,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:51:32,case_314,Gynecologist,
admission request_339,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:51:38,case_314,,
patient analysis_340,P2P,send,Gynecologist,Forward patient analysis results,,patient analysis,SendTask,Gynecologist,2021-06-17 06:51:46,case_314,,
admission request_339,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:51:50,case_314,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:51:52,case_314,,
,,,Hospital,Request blood analysis,,,task,Hospital,2021-06-17 06:51:54,case_314,,
admission_341,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:51:56,case_314,,
admission_341,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:52:04,case_314,Hospital,
disease_499,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 07:17:07,case_459,,
disease_499,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 07:17:10,case_459,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 07:17:13,case_459,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 07:17:18,case_459,,
blood sample_500,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 07:17:21,case_459,,
blood sample_500,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 07:17:25,case_459,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 07:17:25,case_459,,
results_501,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 07:17:27,case_459,,
results_501,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 07:17:30,case_459,Laboratory,
prescription_502,P2P,send,Gynecologist,Send prescription,Patient,prescription,SendTask,Gynecologist,2021-06-17 07:17:33,case_459,,
prescription_502,P2P,receive,Patient,Receive prescription,,prescription,ReceiveTask,Patient,2021-06-17 07:17:38,case_459,Gynecologist,
disease_112,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:15:29,case_114,,
disease_112,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:15:29,case_114,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:15:32,case_114,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:15:35,case_114,,
blood sample_113,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:15:35,case_114,,
blood sample_113,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:15:40,case_114,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:15:44,case_114,,
results_114,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:15:47,case_114,,
results_114,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:15:48,case_114,Laboratory,
hospitalisation_115,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:15:48,case_114,,
admission request_116,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:15:56,case_114,,
admission request_116,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:16:02,case_114,Gynecologist,start
patient analysis_117,P2P,send,Gynecologist,Forward patient analysis results,,patient analysis,SendTask,Gynecologist,2021-06-17 06:16:11,case_114,,
hospitalisation_115,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:16:12,case_114,Gynecologist,
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:16:20,case_114,,
,,,Hospital,Request blood analysis,,,task,Hospital,2021-06-17 06:16:22,case_114,,
admission_118,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:16:23,case_114,,
admission_118,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:16:26,case_114,Hospital,
disease_417,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 07:04:15,case_379,,
disease_417,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 07:04:19,case_379,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 07:04:25,case_379,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 07:04:28,case_379,,
blood sample_418,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 07:04:29,case_379,,
blood sample_418,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 07:04:30,case_379,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 07:04:33,case_379,,
results_419,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 07:04:36,case_379,,
results_419,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 07:04:41,case_379,Laboratory,
hospitalisation_420,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 07:04:43,case_379,,
admission request_421,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 07:04:46,case_379,,
patient analysis_422,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 07:04:50,case_379,,
hospitalisation_420,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 07:04:52,case_379,Gynecologist,
admission request_421,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 07:05:00,case_379,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 07:05:05,case_379,,
patient analysis_422,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 07:05:13,case_379,Gynecologist,
admission_423,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 07:05:14,case_379,,
admission_423,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 07:05:20,case_379,Hospital,
disease_40,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:05:31,case_39,,
disease_40,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:05:31,case_39,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:05:40,case_39,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:05:40,case_39,,
blood sample_41,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:05:43,case_39,,
blood sample_41,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:05:44,case_39,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:05:47,case_39,,
results_42,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:05:51,case_39,,
results_42,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:05:54,case_39,Laboratory,
hospitalisation_43,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:05:57,case_39,,
admission request_44,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:06:01,case_39,,
admission request_44,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:06:11,case_39,Gynecologist,start
hospitalisation_43,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:06:13,case_39,Gynecologist,
patient analysis_45,P2P,send,Gynecologist,Forward patient analysis results,,patient analysis,SendTask,Gynecologist,2021-06-17 06:06:18,case_39,,
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:06:23,case_39,,
,,,Hospital,Request blood analysis,,,task,Hospital,2021-06-17 06:06:26,case_39,,
admission_46,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:06:30,case_39,,
admission_46,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:06:33,case_39,Hospital,
disease_454,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 07:09:34,case_414,,
disease_454,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 07:09:38,case_414,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 07:09:44,case_414,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 07:09:48,case_414,,
blood sample_455,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 07:09:53,case_414,,
blood sample_455,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 07:09:53,case_414,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 07:09:53,case_414,,
results_456,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 07:09:54,case_414,,
results_456,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 07:09:58,case_414,Laboratory,
prescription_457,P2P,send,Gynecologist,Send prescription,Patient,prescription,SendTask,Gynecologist,2021-06-17 07:10:02,case_414,,
prescription_457,P2P,receive,Patient,Receive prescription,,prescription,ReceiveTask,Patient,2021-06-17 07:10:07,case_414,Gynecologist,
disease_108,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:14:54,case_109,,
disease_108,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:14:56,case_109,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:14:59,case_109,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:15:04,case_109,,
blood sample_109,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:15:06,case_109,,
blood sample_109,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:15:07,case_109,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:15:11,case_109,,
results_110,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:15:15,case_109,,
results_110,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:15:18,case_109,Laboratory,
prescription_111,P2P,send,Gynecologist,Send prescription,Patient,prescription,SendTask,Gynecologist,2021-06-17 06:15:21,case_109,,
prescription_111,P2P,receive,Patient,Receive prescription,,prescription,ReceiveTask,Patient,2021-06-17 06:15:25,case_109,Gynecologist,
