collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant
task,PartyA,Activity A,PartyA,2021-06-23 07:31:51,case_179,,,,,,,task_PartyA
task,PartyA,Activity C,PartyA,2021-06-23 07:31:55,case_179,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:31:58,case_179,m4_187,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 07:32:02,case_179,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:32:11,case_179,m4_187,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyC,Activity ZA,PartyC,2021-06-23 07:32:16,case_179,,,,,,,task_PartyC
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:32:21,case_179,m1_186,send,PartyA,m1,,,SendTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:32:26,case_179,m2_188,send,,m2,,,SendTask_PartyB
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:32:33,case_179,m5_189,send,PartyB,m5,,,SendTask_PartyC
task,PartyB,Activity G,PartyB,2021-06-23 07:32:37,case_179,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:32:43,case_179,m5_189,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 07:32:55,case_179,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:33:04,case_179,m3_185,send,PartyB,m3,,,SendTask_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 07:33:07,case_179,,,,,,,task_PartyB
task,PartyC,Activity CZ,PartyC,2021-06-23 07:33:25,case_179,,,,,,,task_PartyC
task,PartyB,Activity DD,PartyB,2021-06-23 07:33:28,case_179,,,,,,,task_PartyB
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:33:34,case_179,m1_186,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyC,Activity BZ,PartyC,2021-06-23 07:33:48,case_179,,,,,,,task_PartyC
task,PartyB,Activity I,PartyB,2021-06-23 07:33:54,case_179,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 07:33:58,case_179,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:34:02,case_179,m3_185,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 07:34:02,case_179,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 07:34:07,case_179,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:24:08,case_444,m4_470,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 09:24:11,case_444,,,,,,,task_PartyB
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:24:13,case_444,m1_469,send,PartyA,m1,,,SendTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:24:28,case_444,m2_467,send,PartyA,m2,,,SendTask_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:24:41,case_444,m4_470,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyA,Activity A,PartyA,2021-06-23 09:24:47,case_444,,,,,,,task_PartyA
task,PartyB,Activity G,PartyB,2021-06-23 09:24:51,case_444,,,,,,,task_PartyB
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 09:25:12,case_444,m2_467,receive,,m2,PartyB,,ReceiveTask_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 09:25:15,case_444,,,,,,,task_PartyB
task,PartyC,Activity ZA,PartyC,2021-06-23 09:25:23,case_444,,,,,,,task_PartyC
task,PartyA,Activity B,PartyA,2021-06-23 09:25:27,case_444,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:25:27,case_444,m3_468,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 09:25:32,case_444,m1_469,receive,,m1,PartyB,,ReceiveTask_PartyA
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:25:33,case_444,m5_471,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 09:25:38,case_444,,,,,,,task_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 09:25:42,case_444,m5_471,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 09:25:47,case_444,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 09:25:51,case_444,,,,,,,task_PartyB
task,PartyC,Activity BZ,PartyC,2021-06-23 09:26:04,case_444,,,,,,,task_PartyC
task,PartyB,Activity J,PartyB,2021-06-23 09:26:08,case_444,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 09:26:08,case_444,m3_468,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 09:26:11,case_444,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 09:26:14,case_444,,,,,,,task_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 06:38:26,case_54,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:38:29,case_54,m4_54,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 06:38:31,case_54,,,,,,,task_PartyB
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:38:37,case_54,m1_53,send,PartyA,m1,,,SendTask_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:38:52,case_54,m4_54,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyB,Activity G,PartyB,2021-06-23 06:38:55,case_54,,,,,,,task_PartyB
task,PartyC,Activity ZA,PartyC,2021-06-23 06:39:02,case_54,,,,,,,task_PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:39:15,case_54,m5_55,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 06:39:21,case_54,,,,,,,task_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 06:39:24,case_54,m5_55,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyC,Activity BZ,PartyC,2021-06-23 06:39:26,case_54,,,,,,,task_PartyC
task,PartyB,Activity FF,PartyB,2021-06-23 06:39:26,case_54,,,,,,,task_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 06:39:33,case_54,m2_51,send,PartyA,m2,,,SendTask_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 06:39:39,case_54,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 06:39:45,case_54,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 06:39:48,case_54,,,,,,,task_PartyB
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:39:55,case_54,m2_51,receive,,m2,PartyB,,ReceiveTask_PartyA
task,PartyA,Activity B,PartyA,2021-06-23 06:39:55,case_54,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 06:39:58,case_54,m3_52,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 06:39:59,case_54,m3_52,receive,,m3,PartyA,,ReceiveTask_PartyB
SendTask,PartyB,Activity M,PartyB,2021-06-23 06:40:09,case_54,M7_56,send,PartyD,M7,,,SendTask_PartyB
ReceiveTask,PartyD,Start2,PartyD,2021-06-23 06:40:17,case_54,M7_56,receive,,M7,PartyB,start,ReceiveTask_PartyD
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 06:40:22,case_54,m1_53,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyB,Activity L,PartyB,2021-06-23 06:40:30,case_54,,,,,,,task_PartyB
task,PartyD,Activity ZAZ,PartyD,2021-06-23 06:40:33,case_54,,,,,,,task_PartyD
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:09:02,case_124,m4_129,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 07:09:07,case_124,,,,,,,task_PartyB
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:09:15,case_124,m1_128,send,PartyA,m1,,,SendTask_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:09:24,case_124,m4_129,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyC,Activity ZA,PartyC,2021-06-23 07:09:37,case_124,,,,,,,task_PartyC
task,PartyA,Activity A,PartyA,2021-06-23 07:09:44,case_124,,,,,,,task_PartyA
task,PartyA,Activity C,PartyA,2021-06-23 07:09:57,case_124,,,,,,,task_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 07:10:04,case_124,,,,,,,task_PartyB
task,PartyC,Activity CZ,PartyC,2021-06-23 07:10:19,case_124,,,,,,,task_PartyC
task,PartyB,Activity G,PartyB,2021-06-23 07:10:23,case_124,,,,,,,task_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:10:35,case_124,m2_130,send,,m2,,,SendTask_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 07:10:39,case_124,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:10:42,case_124,m3_127,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:10:48,case_124,m1_128,receive,,m1,PartyB,,ReceiveTask_PartyA
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:10:56,case_124,m5_131,send,PartyB,m5,,,SendTask_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:10:59,case_124,m5_131,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyC,Activity BZ,PartyC,2021-06-23 07:11:04,case_124,,,,,,,task_PartyC
task,PartyB,Activity DD,PartyB,2021-06-23 07:11:06,case_124,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 07:11:07,case_124,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 07:11:11,case_124,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:11:12,case_124,m3_127,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity N,PartyB,2021-06-23 07:11:15,case_124,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 07:11:18,case_124,,,,,,,task_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 07:22:03,case_154,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:22:07,case_154,m4_161,send,PartyC,m4,,,SendTask_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:22:19,case_154,m4_161,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyB,Activity BB,PartyB,2021-06-23 07:22:21,case_154,,,,,,,task_PartyB
task,PartyA,Activity C,PartyA,2021-06-23 07:22:34,case_154,,,,,,,task_PartyA
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:22:35,case_154,m1_160,send,PartyA,m1,,,SendTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:22:46,case_154,m2_162,send,,m2,,,SendTask_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 07:22:58,case_154,,,,,,,task_PartyA
task,PartyB,Activity G,PartyB,2021-06-23 07:23:01,case_154,,,,,,,task_PartyB
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:23:14,case_154,m3_159,send,PartyB,m3,,,SendTask_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 07:23:19,case_154,,,,,,,task_PartyB
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:23:30,case_154,m1_160,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyC,Activity ZA,PartyC,2021-06-23 07:23:36,case_154,,,,,,,task_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 07:23:37,case_154,,,,,,,task_PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:23:42,case_154,m5_163,send,PartyB,m5,,,SendTask_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:23:42,case_154,m5_163,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyC,Activity BZ,PartyC,2021-06-23 07:23:51,case_154,,,,,,,task_PartyC
task,PartyB,Activity DD,PartyB,2021-06-23 07:23:56,case_154,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 07:23:58,case_154,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 07:24:00,case_154,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:24:04,case_154,m3_159,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity N,PartyB,2021-06-23 07:24:09,case_154,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 07:24:11,case_154,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:16:04,case_424,m4_449,send,PartyC,m4,,,SendTask_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:16:17,case_424,m4_449,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyB,Activity BB,PartyB,2021-06-23 09:16:21,case_424,,,,,,,task_PartyB
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:16:30,case_424,m1_448,send,PartyA,m1,,,SendTask_PartyB
task,PartyC,Activity ZA,PartyC,2021-06-23 09:16:37,case_424,,,,,,,task_PartyC
task,PartyA,Activity A,PartyA,2021-06-23 09:16:43,case_424,,,,,,,task_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 09:16:48,case_424,,,,,,,task_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 09:16:48,case_424,,,,,,,task_PartyB
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:16:55,case_424,m5_450,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 09:17:06,case_424,,,,,,,task_PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 09:17:14,case_424,,,,,,,task_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 09:17:15,case_424,m5_450,receive,,m5,PartyC,,ReceiveTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:17:18,case_424,m2_446,send,PartyA,m2,,,SendTask_PartyB
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 09:17:19,case_424,m2_446,receive,,m2,PartyB,,ReceiveTask_PartyA
task,PartyB,Activity DD,PartyB,2021-06-23 09:17:26,case_424,,,,,,,task_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 09:17:34,case_424,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:17:35,case_424,m3_447,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 09:17:38,case_424,m1_448,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyB,Activity I,PartyB,2021-06-23 09:17:40,case_424,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 09:17:43,case_424,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 09:17:48,case_424,m3_447,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity N,PartyB,2021-06-23 09:17:49,case_424,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 09:17:50,case_424,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:39:02,case_479,m4_506,send,PartyC,m4,,,SendTask_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 09:39:11,case_479,,,,,,,task_PartyA
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:39:21,case_479,m4_506,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyB,Activity BB,PartyB,2021-06-23 09:39:28,case_479,,,,,,,task_PartyB
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:39:32,case_479,m1_505,send,PartyA,m1,,,SendTask_PartyB
task,PartyC,Activity ZA,PartyC,2021-06-23 09:39:37,case_479,,,,,,,task_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 09:39:43,case_479,,,,,,,task_PartyC
task,PartyB,Activity G,PartyB,2021-06-23 09:39:43,case_479,,,,,,,task_PartyB
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:39:48,case_479,m5_507,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 09:39:55,case_479,,,,,,,task_PartyC
task,PartyB,Activity FF,PartyB,2021-06-23 09:39:56,case_479,,,,,,,task_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:40:00,case_479,m2_503,send,PartyA,m2,,,SendTask_PartyB
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 09:40:02,case_479,m2_503,receive,,m2,PartyB,,ReceiveTask_PartyA
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 09:40:05,case_479,m5_507,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 09:40:05,case_479,,,,,,,task_PartyA
