collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType
task,PartyA,Activity A,PartyA,2021-06-23 6:28:40,case_29,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 6:28:44,case_29,m5_30,send,PartyB,m5,,
task,PartyC,Activity CZ,PartyC,2021-06-23 6:28:48,case_29,,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 6:28:52,case_29,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 6:28:53,case_29,m2_26,send,PartyA,m2,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 6:28:58,case_29,m2_26,receive,,m2,PartyB,
task,PartyA,Activity B,PartyA,2021-06-23 6:29:05,case_29,,,,,,
task,PartyB,Activity FF,PartyB,2021-06-23 6:29:10,case_29,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 6:29:16,case_29,m3_27,send,PartyB,m3,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 6:29:19,case_29,m1_28,receive,,m1,PartyB,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 6:29:27,case_29,m5_30,receive,,m5,PartyC,
task,PartyB,Activity G,PartyB,2021-06-23 6:29:29,case_29,,,,,,
task,PartyB,Activity DD,PartyB,2021-06-23 6:29:29,case_29,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 6:29:34,case_29,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 6:29:36,case_29,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 6:29:41,case_29,m3_27,receive,,m3,PartyA,
task,PartyB,Activity O,PartyB,2021-06-23 6:29:41,case_29,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 6:29:43,case_29,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 7:31:51,case_179,,,,,,
task,PartyA,Activity C,PartyA,2021-06-23 7:31:55,case_179,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 7:31:58,case_179,m4_187,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 7:32:02,case_179,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 7:32:11,case_179,m4_187,receive,,m4,PartyB,start
task,PartyC,Activity ZA,PartyC,2021-06-23 7:32:16,case_179,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 7:32:21,case_179,m1_186,send,PartyA,m1,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 7:32:26,case_179,m2_188,send,,m2,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 7:32:33,case_179,m5_189,send,PartyB,m5,,
task,PartyB,Activity G,PartyB,2021-06-23 7:32:37,case_179,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 7:32:43,case_179,m5_189,receive,,m5,PartyC,
task,PartyA,Activity B,PartyA,2021-06-23 7:32:55,case_179,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 7:33:04,case_179,m3_185,send,PartyB,m3,,
task,PartyB,Activity FF,PartyB,2021-06-23 7:33:07,case_179,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 7:33:25,case_179,,,,,,
task,PartyB,Activity DD,PartyB,2021-06-23 7:33:28,case_179,,,,,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 7:33:34,case_179,m1_186,receive,,m1,PartyB,
task,PartyC,Activity BZ,PartyC,2021-06-23 7:33:48,case_179,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 7:33:54,case_179,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 7:33:58,case_179,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 7:34:02,case_179,m3_185,receive,,m3,PartyA,
task,PartyB,Activity O,PartyB,2021-06-23 7:34:02,case_179,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 7:34:07,case_179,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 7:59:21,case_239,m4_252,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 7:59:34,case_239,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 7:59:43,case_239,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 7:59:49,case_239,m1_251,send,PartyA,m1,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 8:00:02,case_239,m4_252,receive,,m4,PartyB,start
SendTask,PartyB,Activity EE,PartyB,2021-06-23 8:00:06,case_239,m2_253,send,,m2,,
task,PartyA,Activity C,PartyA,2021-06-23 8:00:18,case_239,,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 8:00:27,case_239,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 8:00:33,case_239,m3_250,send,PartyB,m3,,
task,PartyC,Activity ZA,PartyC,2021-06-23 8:00:45,case_239,,,,,,
task,PartyB,Activity G,PartyB,2021-06-23 8:00:48,case_239,,,,,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 8:01:03,case_239,m1_251,receive,,m1,PartyB,
task,PartyB,Activity FF,PartyB,2021-06-23 8:01:10,case_239,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 8:01:15,case_239,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 8:01:18,case_239,m5_254,send,PartyB,m5,,
task,PartyC,Activity BZ,PartyC,2021-06-23 8:01:26,case_239,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 8:01:29,case_239,m5_254,receive,,m5,PartyC,
task,PartyB,Activity DD,PartyB,2021-06-23 8:01:32,case_239,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 8:01:35,case_239,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 8:01:40,case_239,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 8:01:40,case_239,m3_250,receive,,m3,PartyA,
task,PartyB,Activity O,PartyB,2021-06-23 8:01:44,case_239,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 8:01:45,case_239,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 8:44:35,case_349,m4_370,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 8:44:41,case_349,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 8:44:49,case_349,m1_369,send,PartyA,m1,,
task,PartyA,Activity A,PartyA,2021-06-23 8:44:54,case_349,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 8:45:01,case_349,m4_370,receive,,m4,PartyB,start
task,PartyB,Activity FF,PartyB,2021-06-23 8:45:08,case_349,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 8:45:13,case_349,m2_367,send,PartyA,m2,,
task,PartyB,Activity G,PartyB,2021-06-23 8:45:17,case_349,,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 8:45:23,case_349,m2_367,receive,,m2,PartyB,
task,PartyA,Activity B,PartyA,2021-06-23 8:45:26,case_349,,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 8:45:32,case_349,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 8:45:38,case_349,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 8:45:41,case_349,m5_371,send,PartyB,m5,,
task,PartyC,Activity BZ,PartyC,2021-06-23 8:45:55,case_349,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 8:46:05,case_349,m5_371,receive,,m5,PartyC,
task,PartyB,Activity DD,PartyB,2021-06-23 8:46:10,case_349,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 8:46:19,case_349,m3_368,send,PartyB,m3,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 8:46:22,case_349,m1_369,receive,,m1,PartyB,
task,PartyB,Activity I,PartyB,2021-06-23 8:46:22,case_349,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 8:46:25,case_349,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 8:46:26,case_349,m3_368,receive,,m3,PartyA,
task,PartyB,Activity N,PartyB,2021-06-23 8:46:29,case_349,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 8:46:33,case_349,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 8:46:37,case_354,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 8:46:44,case_354,m4_374,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 8:46:50,case_354,,,,,,
task,PartyA,Activity C,PartyA,2021-06-23 8:46:57,case_354,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 8:46:59,case_354,m1_373,send,PartyA,m1,,
task,PartyB,Activity G,PartyB,2021-06-23 8:47:11,case_354,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 8:47:17,case_354,m4_374,receive,,m4,PartyB,start
task,PartyA,Activity B,PartyA,2021-06-23 8:47:31,case_354,,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 8:47:39,case_354,,,,,,
task,PartyB,Activity FF,PartyB,2021-06-23 8:47:42,case_354,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 8:47:44,case_354,m2_375,send,,m2,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 8:47:54,case_354,m5_376,send,PartyB,m5,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 8:47:56,case_354,m5_376,receive,,m5,PartyC,
SendTask,PartyA,Activity E,PartyA,2021-06-23 8:48:10,case_354,m3_372,send,PartyB,m3,,
task,PartyC,Activity CZ,PartyC,2021-06-23 8:48:21,case_354,,,,,,
task,PartyB,Activity DD,PartyB,2021-06-23 8:48:25,case_354,,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 8:48:43,case_354,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 8:48:48,case_354,,,,,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 8:48:56,case_354,m1_373,receive,,m1,PartyB,
task,PartyB,Activity J,PartyB,2021-06-23 8:48:57,case_354,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 8:49:00,case_354,m3_372,receive,,m3,PartyA,
task,PartyB,Activity O,PartyB,2021-06-23 8:49:00,case_354,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 8:49:01,case_354,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 9:24:08,case_444,m4_470,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 9:24:11,case_444,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 9:24:13,case_444,m1_469,send,PartyA,m1,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 9:24:28,case_444,m2_467,send,PartyA,m2,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 9:24:41,case_444,m4_470,receive,,m4,PartyB,start
task,PartyA,Activity A,PartyA,2021-06-23 9:24:47,case_444,,,,,,
task,PartyB,Activity G,PartyB,2021-06-23 9:24:51,case_444,,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 9:25:12,case_444,m2_467,receive,,m2,PartyB,
task,PartyB,Activity FF,PartyB,2021-06-23 9:25:15,case_444,,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 9:25:23,case_444,,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 9:25:27,case_444,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 9:25:27,case_444,m3_468,send,PartyB,m3,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 9:25:32,case_444,m1_469,receive,,m1,PartyB,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 9:25:33,case_444,m5_471,send,PartyB,m5,,
task,PartyC,Activity CZ,PartyC,2021-06-23 9:25:38,case_444,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 9:25:42,case_444,m5_471,receive,,m5,PartyC,
task,PartyB,Activity DD,PartyB,2021-06-23 9:25:47,case_444,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 9:25:51,case_444,,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 9:26:04,case_444,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 9:26:08,case_444,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 9:26:08,case_444,m3_468,receive,,m3,PartyA,
task,PartyB,Activity O,PartyB,2021-06-23 9:26:11,case_444,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 9:26:14,case_444,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 6:38:26,case_54,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 6:38:29,case_54,m4_54,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 6:38:31,case_54,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 6:38:37,case_54,m1_53,send,PartyA,m1,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 6:38:52,case_54,m4_54,receive,,m4,PartyB,start
task,PartyB,Activity G,PartyB,2021-06-23 6:38:55,case_54,,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 6:39:02,case_54,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 6:39:15,case_54,m5_55,send,PartyB,m5,,
task,PartyC,Activity CZ,PartyC,2021-06-23 6:39:21,case_54,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 6:39:24,case_54,m5_55,receive,,m5,PartyC,
task,PartyC,Activity BZ,PartyC,2021-06-23 6:39:26,case_54,,,,,,
task,PartyB,Activity FF,PartyB,2021-06-23 6:39:26,case_54,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 6:39:33,case_54,m2_51,send,PartyA,m2,,
task,PartyB,Activity DD,PartyB,2021-06-23 6:39:39,case_54,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 6:39:45,case_54,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 6:39:48,case_54,,,,,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 6:39:55,case_54,m2_51,receive,,m2,PartyB,
task,PartyA,Activity B,PartyA,2021-06-23 6:39:55,case_54,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 6:39:58,case_54,m3_52,send,PartyB,m3,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 6:39:59,case_54,m3_52,receive,,m3,PartyA,
SendTask,PartyB,Activity M,PartyB,2021-06-23 6:40:09,case_54,M7_56,send,PartyD,M7,,
ReceiveTask,PartyD,Start2,PartyD,2021-06-23 6:40:17,case_54,M7_56,receive,,M7,PartyB,start
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 6:40:22,case_54,m1_53,receive,,m1,PartyB,
task,PartyB,Activity L,PartyB,2021-06-23 6:40:30,case_54,,,,,,
task,PartyD,Activity ZAZ,PartyD,2021-06-23 6:40:33,case_54,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 7:09:02,case_124,m4_129,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 7:09:07,case_124,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 7:09:15,case_124,m1_128,send,PartyA,m1,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 7:09:24,case_124,m4_129,receive,,m4,PartyB,start
task,PartyC,Activity ZA,PartyC,2021-06-23 7:09:37,case_124,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 7:09:44,case_124,,,,,,
task,PartyA,Activity C,PartyA,2021-06-23 7:09:57,case_124,,,,,,
task,PartyB,Activity FF,PartyB,2021-06-23 7:10:04,case_124,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 7:10:19,case_124,,,,,,
task,PartyB,Activity G,PartyB,2021-06-23 7:10:23,case_124,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 7:10:35,case_124,m2_130,send,,m2,,
task,PartyA,Activity B,PartyA,2021-06-23 7:10:39,case_124,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 7:10:42,case_124,m3_127,send,PartyB,m3,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 7:10:48,case_124,m1_128,receive,,m1,PartyB,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 7:10:56,case_124,m5_131,send,PartyB,m5,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 7:10:59,case_124,m5_131,receive,,m5,PartyC,
task,PartyC,Activity BZ,PartyC,2021-06-23 7:11:04,case_124,,,,,,
task,PartyB,Activity DD,PartyB,2021-06-23 7:11:06,case_124,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 7:11:07,case_124,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 7:11:11,case_124,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 7:11:12,case_124,m3_127,receive,,m3,PartyA,
task,PartyB,Activity N,PartyB,2021-06-23 7:11:15,case_124,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 7:11:18,case_124,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 7:22:03,case_154,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 7:22:07,case_154,m4_161,send,PartyC,m4,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 7:22:19,case_154,m4_161,receive,,m4,PartyB,start
task,PartyB,Activity BB,PartyB,2021-06-23 7:22:21,case_154,,,,,,
task,PartyA,Activity C,PartyA,2021-06-23 7:22:34,case_154,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 7:22:35,case_154,m1_160,send,PartyA,m1,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 7:22:46,case_154,m2_162,send,,m2,,
task,PartyA,Activity B,PartyA,2021-06-23 7:22:58,case_154,,,,,,
task,PartyB,Activity G,PartyB,2021-06-23 7:23:01,case_154,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 7:23:14,case_154,m3_159,send,PartyB,m3,,
task,PartyB,Activity FF,PartyB,2021-06-23 7:23:19,case_154,,,,,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 7:23:30,case_154,m1_160,receive,,m1,PartyB,
task,PartyC,Activity ZA,PartyC,2021-06-23 7:23:36,case_154,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 7:23:37,case_154,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 7:23:42,case_154,m5_163,send,PartyB,m5,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 7:23:42,case_154,m5_163,receive,,m5,PartyC,
task,PartyC,Activity BZ,PartyC,2021-06-23 7:23:51,case_154,,,,,,
task,PartyB,Activity DD,PartyB,2021-06-23 7:23:56,case_154,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 7:23:58,case_154,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 7:24:00,case_154,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 7:24:04,case_154,m3_159,receive,,m3,PartyA,
task,PartyB,Activity N,PartyB,2021-06-23 7:24:09,case_154,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 7:24:11,case_154,,,,,,
task,PartyA,Activity A,PartyA,2021-06-23 8:55:37,case_374,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 8:55:38,case_374,m4_396,send,PartyC,m4,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 8:55:43,case_374,m4_396,receive,,m4,PartyB,start
task,PartyB,Activity BB,PartyB,2021-06-23 8:55:44,case_374,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 8:55:47,case_374,m1_395,send,PartyA,m1,,
task,PartyC,Activity ZA,PartyC,2021-06-23 8:55:51,case_374,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 8:55:54,case_374,m2_393,send,PartyA,m2,,
task,PartyB,Activity FF,PartyB,2021-06-23 8:55:58,case_374,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 8:56:07,case_374,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 8:56:15,case_374,m5_397,send,PartyB,m5,,
task,PartyB,Activity G,PartyB,2021-06-23 8:56:15,case_374,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 8:56:20,case_374,m5_397,receive,,m5,PartyC,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 8:56:34,case_374,m2_393,receive,,m2,PartyB,
task,PartyC,Activity BZ,PartyC,2021-06-23 8:56:41,case_374,,,,,,
task,PartyB,Activity DD,PartyB,2021-06-23 8:56:45,case_374,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 8:56:48,case_374,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 8:56:57,case_374,,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 8:57:02,case_374,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 8:57:07,case_374,m3_394,send,PartyB,m3,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 8:57:12,case_374,m3_394,receive,,m3,PartyA,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 8:57:19,case_374,m1_395,receive,,m1,PartyB,
task,PartyB,Activity N,PartyB,2021-06-23 8:57:22,case_374,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 8:57:26,case_374,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 9:39:02,case_479,m4_506,send,PartyC,m4,,
task,PartyA,Activity A,PartyA,2021-06-23 9:39:11,case_479,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 9:39:21,case_479,m4_506,receive,,m4,PartyB,start
task,PartyB,Activity BB,PartyB,2021-06-23 9:39:28,case_479,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 9:39:32,case_479,m1_505,send,PartyA,m1,,
task,PartyC,Activity ZA,PartyC,2021-06-23 9:39:37,case_479,,,,,,
task,PartyC,Activity CZ,PartyC,2021-06-23 9:39:43,case_479,,,,,,
task,PartyB,Activity G,PartyB,2021-06-23 9:39:43,case_479,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 9:39:48,case_479,m5_507,send,PartyB,m5,,
task,PartyC,Activity BZ,PartyC,2021-06-23 9:39:55,case_479,,,,,,
task,PartyB,Activity FF,PartyB,2021-06-23 9:39:56,case_479,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 9:40:00,case_479,m2_503,send,PartyA,m2,,
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 9:40:02,case_479,m2_503,receive,,m2,PartyB,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 9:40:05,case_479,m5_507,receive,,m5,PartyC,
task,PartyA,Activity B,PartyA,2021-06-23 9:40:05,case_479,,,,,,
